Date,SPY,VUG,VTV,SPHQ,SPHD,IYW,VB,MTUM,SCHO,TLT,HYG,LQD,IEO,IAU,VNQ,VIXY
2022-03-29,445.9432067871094,291.6283264160156,141.57911682128906,49.54700469970703,43.090576171875,105.40564727783203,211.09097290039062,167.15155029296875,45.88444900512695,120.95741271972656,72.09650421142578,110.03021240234375,78.13323211669922,36.5,100.4782485961914,78.0999984741211
2022-03-30,443.1895751953125,288.1589660644531,141.36231994628906,49.00729751586914,43.19038772583008,103.77183532714844,207.72747802734375,165.19688415527344,45.93080520629883,121.90107727050781,71.87893676757812,110.28494262695312,79.10688781738281,36.7599983215332,99.75086975097656,78.94999694824219
2022-03-31,436.3682861328125,283.45770263671875,139.29800415039062,48.101356506347656,42.836524963378906,102.02909851074219,204.8169403076172,162.82614135742188,45.93080520629883,122.19713592529297,71.61782836914062,110.03021240234375,78.18885040283203,36.83000183105469,98.53251647949219,82.8499984741211
2022-04-01,437.60504150390625,284.32501220703125,139.84469604492188,48.14955139160156,43.29021453857422,101.75186157226562,206.5613555908203,163.08741760253906,45.823204040527344,122.66227722167969,71.61258697509766,110.39944458007812,79.25524139404297,36.540000915527344,100.45098114013672,80.0
2022-04-04,441.3538513183594,289.6373291015625,139.4770965576172,48.40977096557617,43.154090881347656,104.00949096679688,206.88900756835938,164.88723754882812,45.841766357421875,121.80980682373047,72.15437316894531,110.78234100341797,79.33868408203125,36.72999954223633,99.95999145507812,75.69999694824219
2022-04-05,435.7789306640625,284.02935791015625,138.76072692871094,47.79296112060547,42.99077606201172,101.474609375,202.81236267089844,161.2972869873047,45.78609848022461,119.05785369873047,71.21934509277344,108.84041595458984,77.6974105834961,36.4900016784668,99.46900939941406,82.0999984741211
2022-04-06,431.42144775390625,277.1991882324219,139.25088500976562,47.28217315673828,43.46260070800781,98.62285614013672,200.210205078125,158.51043701171875,45.79537582397461,118.09418487548828,70.66008758544922,108.20220184326172,77.66031646728516,36.58000183105469,100.65100860595703,84.0
2022-04-07,433.5953369140625,278.21429443359375,139.9955291748047,47.62911605834961,43.4989013671875,98.95951843261719,199.79574584960938,159.75872802734375,45.83248519897461,117.20462036132812,70.5465087890625,107.70079803466797,78.50414276123047,36.70000076293945,99.6508560180664,81.55000305175781
2022-04-08,432.43597412109375,274.9027404785156,140.9852752685547,47.72549819946289,43.87090301513672,97.22669219970703,199.04403686523438,158.96522521972656,45.78609848022461,115.93523406982422,70.1183090209961,106.85289764404297,80.87799072265625,36.970001220703125,99.81450653076172,81.55000305175781
2022-04-11,425.04461669921875,268.4667663574219,139.7033233642578,47.01231384277344,43.67129135131836,94.86014556884766,198.0899200439453,155.588134765625,45.78609848022461,114.10055541992188,69.63768005371094,105.8134994506836,78.39286804199219,37.13999938964844,98.74162292480469,86.19999694824219
2022-04-12,423.46978759765625,267.1066589355469,139.36398315429688,46.75209426879883,43.78017807006836,94.43435668945312,198.2537841796875,154.76565551757812,45.915977478027344,113.94303131103516,70.17074584960938,105.88645935058594,79.67251586914062,37.41999816894531,98.59616088867188,87.0
2022-04-13,428.3199768066406,272.1628112792969,140.06149291992188,47.27252960205078,43.934425354003906,96.16719818115234,201.85821533203125,156.91383361816406,45.92524337768555,114.17469024658203,70.5901870727539,106.43350219726562,80.89653015136719,37.619998931884766,99.2962646484375,81.1500015258789
2022-04-14,422.9866638183594,266.3280334472656,139.55250549316406,46.723182678222656,44.10682678222656,93.56298828125,200.20057678222656,153.9915008544922,45.86958312988281,111.885986328125,70.1183090209961,105.19357299804688,81.08200073242188,37.470001220703125,98.86891174316406,83.0999984741211
